Efficient,Modbus TCP register mapping file with minimal gaps between registers (64 bit Max size),,,,,,,,,,
,,,,,,,,,,,
Dev_Name,Manufacturer,Dev_Type,Dev_Protocol,Template Name,Total_EDS_Parameters,,,,,,
,,,,,,,,,,,
3C - Magnum PXR 20/25,Eaton,Protection,,,143,,,,,,
,Category,Modbus TCP Register (1-based),Description,Register Count,Type ID,Units,Writable,Possible Values,,Data Trendable,Function Code
,Device Property,40000,family,32,STRING,,No,,,No,03 or 04
,Device Property,40032,model_series,32,STRING,,No,,,No,03 or 04
,Device Property,40064,model,32,STRING,,No,,,No,03 or 04
,Device Property,40096,name,32,STRING,,No,,,No,03 or 04
,Device Property,40128,canonical_model_name,32,STRING,,No,,,No,03 or 04
,Device Property,40160,network_address,32,STRING,,No,,,No,03 or 04
,Device Property,40192,serial,32,STRING,,No,,,No,03 or 04
,Device Property,40224,vendor,32,STRING,,No,,,No,03 or 04
,Device Property,40256,asset_id,32,STRING,,No,,,No,03 or 04
,Device Property,40288,location,32,STRING,,No,,,No,03 or 04
,Device Property,40320,contact,32,STRING,,No,,,No,03 or 04
,Device Property,40384,software_version,32,STRING,,No,,,No,03 or 04
,Device Property,40416,symbol_canonical_name,32,STRING,,No,,,No,03 or 04
,Device Property,40480,waveform_enabled,2,UINT32,,No,,,No,03 or 04
,Operations,1000,Status,2,INT32,,No,Unknown(0);Open(1);Closed(2);Tripped(3);Alarmed(4);Picked-up(13);,,No,03 or 04
,Operations,1002,Status Secondary,2,INT32,,No,Not Applicable(1);Test mode(3);Powered up(7);Alarm(8);,,No,03 or 04
,Operations,1004,Cause of Status,2,INT32,,No,Unknown(0);Normal(1);Instantaneous(3);Inst neutral over current(5);Over voltage(11);Under voltage(12);Auxiliary Under Voltage(14);Current unbalance(17);Voltage unbalance(18);Operations count(31);Control via comms(33);Coil supervision(37);Battery low(41);Long delay(61);Short delay(62);Reverse power(65);Phase current loss(69);High Load Alarm 1(73);Making current release(75);Fixed hardware Inst(76);Setpoints error(77);Over temperature(78);Long delay neutral over current(80);Ground fault(84);Earth fault(85);Calibration(113);Real time clock(136);MM mode(153);Breaker mechanism fault(154);Short delay neutral over current(158);Thermal Memory Alarm(159);Trip breaker from LCD side(160);High Load Alarm 2(161);Ground fault pre-alarm(162);High temperature Alarm(163);Non-volatile memory error(2045);Watchdog fault(2046);,,No,03 or 04
